name,group,Rank,Rating,Reviews,Min Installs,max_installs
Kingdoms at War,Arcade,97,4.5,27108,1000000,5000000
Legend of the Cryptids,Card,98,4.09,15914,1000000,5000000
Pocket Knights,Arcade,99,3.92,9791,500000,1000000
Dice With Buddies  Free,Board,100,4.45,68048,1000000,5000000
DragonVale,Family,101,4.34,132889,5000000,10000000
My Singing Monsters,Simulation,102,4.43,103903,1000000,5000000
Order & Chaos Online,Role Playing,103,4.3,70795,100000,500000
War of Legions,Role Playing,104,4.13,7183,100000,500000
MLB.com At Bat,Sports,105,4.2,23058,1000000,5000000
Despicable Me,Casual,106,4.52,3413695,100000000,500000000
LINE: Free Calls & Messages,Communication,107,4.18,2991972,100000000,500000000
Titan Slots,Casino,108,4.32,32985,1000000,5000000
War of Nations,Role Playing,109,3.79,14156,1000000,5000000
Make It Rain: Love of Money,Casual,110,4.47,14931,100000,500000
High School Story,Simulation,111,4.12,159937,1000000,5000000
Transformers Legends,Action,112,4.17,85164,5000000,10000000
Game of War - Fire Age,Strategy,113,4.17,6820,100000,500000
Covet Fashion - The Game,Casual,114,4.03,17670,500000,1000000
Elemental Kingdoms (CCG),Card,115,3.88,22066,1000000,5000000
Ayakashi: Ghost Guild,Role Playing,116,4.41,79467,1000000,5000000
A for Kakao,Puzzle,117,4.12,679902,5000000,10000000
Golf Star,Sports,118,4.43,190353,1000000,5000000
Empire:Rome Rising,Strategy,119,4.13,16785,500000,1000000
My Talking Tom,Casual,120,4.4,2220482,50000000,100000000
ETERNITY WARRIORS 3,Action,121,4.36,287444,1000000,5000000
Marvel Comics,Comics,122,4.12,18845,5000000,10000000
The Secret Society,Adventure,123,4.4,226477,1000000,5000000
Battle Islands,Strategy,124,3.88,28827,500000,1000000
Clumsy Ninja,Family,125,4.39,171511,1000000,5000000
Dungeon Keeper,Strategy,126,3.98,51164,500000,1000000
Happy Farm:Candy Day,Casual,127,4.18,365524,10000000,50000000
Fast & Furious 6: The Game,Action,128,4.14,487722,10000000,50000000
Valkyrie Crusade,Casual,129,4.41,33058,1000000,5000000
Legend Online: New Era,Role Playing,130,4.1,36747,1000000,5000000
GO SMS Pro,Communication,131,4.44,1358920,50000000,100000000
Bloons TD 5,Strategy,132,4.62,40812,500000,1000000
Virtual Families 2,Casual,133,4.18,126280,1000000,5000000
SUMMON MASTERS,Role Playing,134,4.34,66328,1000000,5000000
UNO  & Friends,Card,135,4.15,366385,10000000,50000000
Dragon Story: Springtime,Casual,136,4.09,19300,500000,1000000
World at Arms,Strategy,137,4.32,337300,10000000,50000000
Animal Voyage:Island Adventure,Casual,138,4.14,72964,1000000,5000000
HonorBound (RPG),Role Playing,139,4.51,93732,500000,1000000
Hill Climb Racing,Racing,140,4.45,2788166,100000000,500000000
