name,group,Rank,Rating,Reviews,Min Installs,max_installs
Six-Guns,Action,424,4.43,569684,10000000,50000000
Tap Paradise Cove,Casual,425,4.08,31530,1000000,5000000
Farming Simulator 14,Simulation,426,4.25,12719,100000,500000
Galaxy Fight,Casual,427,4.59,10875,100000,500000
Jackpot Bingo -Free Bingo Game,Casino,428,4.4,49295,1000000,5000000
Cozi Family Calendar & Lists,Productivity,429,4.45,16844,1000000,5000000
Charm King,Puzzle,430,4.63,11068,100000,500000
Gangstar Vegas,Action,431,3.93,38255,100000,500000
Lose It!,Health & Fitness,432,4.54,24827,1000000,5000000
Mutants: Genetic Gladiators,Action,433,4.27,15465,100000,500000
Mathway,Education,434,4.2,7798,500000,1000000
Guardian Cross,Role Playing,435,3.72,6999,500000,1000000
"Casino Live - Poker, Slots",Casino,436,4.19,6490,500000,1000000
Wonderland Epic Play Now,Puzzle,437,4.02,5857,100000,500000
Emoji Keyboard - Emoticons(KK),Tools,438,4.21,44790,1000000,5000000
Shall we date Destiny Ninja,Adventure,439,4.38,18122,500000,1000000
Slots of Fun - Free Slot Games,Casino,440,3.95,6253,500000,1000000
Ragnarok Valkyrie [English],Role Playing,441,4.46,58509,500000,1000000
Fashion Story,Casual,442,4.25,186944,10000000,50000000
Plants vs. Zombies,Casual,443,3.94,26956,500000,1000000
The Room Two,Puzzle,444,4.86,46065,100000,500000
Threes!,Puzzle,445,4.59,16771,100000,500000
The Cinderella Contract,Simulation,446,4.3,5014,100000,500000
Mini Golf MatchUp,Arcade,447,4.46,178672,1000000,5000000
GotchaWarriorsX,Strategy,448,4.27,51549,1000000,5000000
Clash of Slots,Casino,449,4.25,3457,100000,500000
3D MMO Celtic Heroes,Role Playing,450,4.2,2689,10000,50000
Slots - Journey of Magic,Casino,451,4.18,13512,1000000,5000000
Fairy Kingdom HD,Strategy,452,4.37,18837,100000,500000
AutoRap by Smule,Music & Audio,453,4.09,64242,5000000,10000000
SAS: Zombie Assault 3,Action,454,4.39,112447,1000000,5000000
Clear Vision 3 -Sniper Shooter,Action,455,4.34,222279,1000000,5000000
MONOPOLY,Casual,456,3.75,11118,100000,500000
Pet Shop Story,Casual,457,4.25,142305,10000000,50000000
OfficeSuite Pro 7 (PDF&Fonts),Business,458,4.37,31685,500000,1000000
Slots- Vegas slot machines,Casino,459,4.2,5059,100000,500000
FL Studio Mobile,Music & Audio,460,4.12,3493,50000,100000
PrinterShare Premium Key,Business,461,4.43,7776,100000,500000
Titanium Backup PRO Key ,Tools,462,4.8,53244,500000,1000000
Bubble Blaze,Casual,463,4.31,69018,5000000,10000000
Clickfun Casino Slots,Card,464,4.19,8099,500000,1000000
Montezuma Blitz Match 3 Puzzle,Arcade,465,4.06,28053,500000,1000000
Meez,Social,466,3.92,14676,500000,1000000
Teen Patti - Indian Poker,Casino,467,4.49,475313,5000000,10000000
Littlest Pet Shop,Family,468,4.29,188328,10000000,50000000
Wipeout,Action,469,4.48,19680,100000,500000
Tower of Saviors,Puzzle,470,4.46,46939,1000000,5000000
Warspear Online MMORPG,Role Playing,471,4.26,52367,1000000,5000000
Amazing Spider-Man 2 Live WP,Personalization,472,4.17,75983,5000000,10000000
Kakao,Simulation,473,4.34,285681,1000000,5000000
NQ Mobile Security & Antivirus,Productivity,474,4.38,225462,10000000,50000000
Diner Dash,Family,475,3.96,60881,5000000,10000000
SLOTS: Bible Slots Free,Casino,476,4.53,8613,500000,1000000
Pet Shop Story: Springtime,Simulation,477,4.01,15101,500000,1000000
Infinite Flight Simulator,Simulation,478,4.41,8126,100000,500000
Tasker,Tools,479,4.63,21896,500000,1000000
Galaxy - Chat & Play,Social,480,4.28,36822,1000000,5000000
Pou,Casual,481,4.41,4199735,100000000,500000000
FRONTLINE COMMANDO: D-DAY,Action,482,4.53,515506,10000000,50000000
Call of Mini Infinity,Arcade,483,3.99,168045,1000000,5000000
Splashtop 2 Remote Desktop,Business,484,4.55,54593,1000000,5000000
Arcane Empires,Arcade,485,4.27,19400,1000000,5000000
Burner - Disposable Numbers,Communication,486,3.99,1324,100000,500000
Happy Street,Casual,487,4.55,64284,1000000,5000000
Quiz RPG: World of Mystic Wiz,Role Playing,488,4.29,6889,100000,500000
Invoice2go Plus - Invoice App,Business,489,4.3,2239,100000,500000
BIG WIN Football,Sports,490,4.23,66268,5000000,10000000
Dragon Friends,Simulation,491,4.53,4262,10000,50000
Magic 2014,Puzzle,492,4.19,20738,100000,500000
"Zombies, Run!",Health & Fitness,493,4.33,7484,100000,500000
Sword of King : Excalibur,Action,494,4.14,5684,100000,500000
Electro Girl (Card Battle),Arcade,495,3.83,4959,500000,1000000
Anonymous Texting,Communication,496,3.83,2053,500000,1000000
2014 for Kakao,Sports,497,4.37,277193,5000000,10000000
GPS Navigation by Sygic,Travel & Local,498,4.21,270882,10000000,50000000
The World of Magic,Role Playing,499,4.35,63392,1000000,5000000
SongPop,Music,500,4.59,319860,10000000,50000000
